geom_hash,geom_comment,n_el,model,model_comment,opt_steps,E,E_std,E_sigma,t_step,t_total
437c5bbe5cef427177a8d4d7dabfbcd0,cumulene_C2H4_0deg,16,CCSD(T),"Extrapolate(4,cc-core)",,-78.59113337,,,,
ea25a59bb21c5cda8b187a60539e26bd,cumulene_C2H4_90deg,16,CCSD(T),"Extrapolate(4,cc-core)",,-78.4589776,,,,
f7c4090ce45897ebf36572c8fe235607,cumulene_C3H4_0deg,22,CCSD(T),"Extrapolate(4,cc-core)",,-116.5503701,,,,
ac04c999e7cb27fc7df8102f6a32fde8,cumulene_C3H4_90deg,22,CCSD(T),"Extrapolate(4,cc-core)",,-116.6583529,,,,
13b1974852bbdb41a3edc82b988422bf,cumulene_C4H4_0deg,28,CCSD(T),"Extrapolate(4,cc-core)",,-154.7252036,,,,
5c2f1fbbfe629463e3a4eba88c136f28,cumulene_C4H4_90deg,28,CCSD(T),"Extrapolate(4,cc-core)",,-154.6108348,,,,
ae14310f928db3903e5aa5a1e653f6fd,cumulene_C5H4_0deg,34,CCSD(T),"Extrapolate(4,cc-core)",,-192.7206015,,,,
737ec639d6d2c0b4e4fb598ff693b33a,cumulene_C5H4_90deg,34,CCSD(T),"Extrapolate(4,cc-core)",,-192.7955156,,,,
437c5bbe5cef427177a8d4d7dabfbcd0,cumulene_C2H4_0deg,16,HF,"Extrapolate(4,cc-core)",,-78.06972253,,,,
ea25a59bb21c5cda8b187a60539e26bd,cumulene_C2H4_90deg,16,HF,"Extrapolate(4,cc-core)",,-77.89709874,,,,
f7c4090ce45897ebf36572c8fe235607,cumulene_C3H4_0deg,22,HF,"Extrapolate(4,cc-core)",,-115.8065583,,,,
ac04c999e7cb27fc7df8102f6a32fde8,cumulene_C3H4_90deg,22,HF,"Extrapolate(4,cc-core)",,-115.9098671,,,,
13b1974852bbdb41a3edc82b988422bf,cumulene_C4H4_0deg,28,HF,"Extrapolate(4,cc-core)",,-153.7460093,,,,
5c2f1fbbfe629463e3a4eba88c136f28,cumulene_C4H4_90deg,28,HF,"Extrapolate(4,cc-core)",,-153.6341688,,,,
ae14310f928db3903e5aa5a1e653f6fd,cumulene_C5H4_0deg,34,HF,"Extrapolate(4,cc-core)",,-191.5119809,,,,
737ec639d6d2c0b4e4fb598ff693b33a,cumulene_C5H4_90deg,34,HF,"Extrapolate(4,cc-core)",,-191.5852861,,,,
c3568e3dd81be3cfdc615d5dc420eb9d,cumulene_C6H4_0deg,40,HF,"Extrapolate(4,cc-core)",,-229.4234124,,,,
156ee3365b98696abc280b34aef5d7ca,cumulene_C6H4_90deg,40,HF,"Extrapolate(4,cc-core)",,-229.3414723,,,,
d0f1b22c17afcf90bc666c3877011aeb,cumulene_C7H4_0deg,46,HF,"Extrapolate(4,cc-core)",,-267.2023298,,,,
64abe9bb6c7a0e886bfc3ad0249f2c63,cumulene_C7H4_90deg,46,HF,"Extrapolate(4,cc-core)",,-267.2629432,,,,
5fa4716c841d64a69dc9fe7c2f2a0946,cumulene_C8H4_0deg,52,HF,"Extrapolate(4,cc-core)",,-305.1018393,,,,
8074d3273ffaa22501a685b061194716,cumulene_C8H4_90deg,52,HF,"Extrapolate(4,cc-core)",,-305.0345041,,,,
35af2db968d35237d701b72c57d17fca,cumulene_C9H4_0deg,58,HF,"Extrapolate(4,cc-core)",,-342.8874956,,,,
1300c29e5fc782d7bc5e414652e7170f,cumulene_C9H4_90deg,58,HF,"Extrapolate(4,cc-core)",,-342.9413775,,,,
344673da8f3356378a30dbfb0f7e2bb8,cumulene_C10H4_0deg,64,HF,"Extrapolate(4,cc-core)",,-380.7805541,,,,
18bc7b6230a1ba1e26c3cac695429d30,cumulene_C10H4_90deg,64,HF,"Extrapolate(4,cc-core)",,-380.7488895,,,,
